Students Id,"[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Financial Analysis]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Market Strategy]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Cost Management]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Legal Compliance]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Client Acquisition]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Supply Chain Management]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Marketing Strategies]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Customer Relationship Management]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Venture Capital]","[Business] Before the EIT program, how would you rate your skills and knowledge in these areas? [Innovation and Creativity]","[Communications] Before the EIT program, how would you rate your skills and knowledge in these areas? [Audience Analysis and Segmentation]","[Communications] Before the EIT program, how would you rate your skills and knowledge in these areas? [Storytelling and Narrative Development]","[Communications] Before the EIT program, how would you rate your skills and knowledge in these areas? [Visual Communication and Design]","[Communications] Before the EIT program, how would you rate your skills and knowledge in these areas? [Strategic Messaging and Brand Voice]","[Communications] Before the EIT program, how would you rate your skills and knowledge in these areas? [Media Relations and Publicity]","[Communications] Before the EIT program, how would you rate your skills and knowledge in these areas? [Event Planning and Management]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Cybersecurity Fundamentals]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Cloud Computing and AWS]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [IoT (Internet of Things) Development]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Network Administration and Infrastructure]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Software Testing and Quality Assurance]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Big Data and Analytics]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Virtual Reality and Augmented Reality Development]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Natural Language Processing and Text Mining]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Cybersecurity Operations and Incident Response]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Digital Transformation Strategies]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Quantum Computing]","[Technology] Before the EIT program, how would you rate your skills and knowledge in these areas? [Edge Computing and IoT Security]",How would you rate your proficiency in the following soft skills? [Collaboration and Cooperation],How would you rate your proficiency in the following soft skills? [Strategic Thinking and Decision Making],How would you rate your proficiency in the following soft skills? [Assertiveness and Influence],How would you rate your proficiency in the following soft skills? [Organizational and Prioritization],How would you rate your proficiency in the following soft skills? [Diversity and Inclusion Awareness],How would you rate your proficiency in the following soft skills? [Analytical and Solution-oriented Thinking],How would you rate your proficiency in the following soft skills? [Empathy and Social Awareness],How would you rate your proficiency in the following soft skills? [Innovative and Creative Problem-solving],How would you rate your proficiency in the following soft skills? [Receptive and Constructive Communication],How would you rate your proficiency in the following soft skills? [Narrative and Communication Skills],How would you evaluate the following components of the program? [Mentorship and Support System],How would you evaluate the following components of the program? [Networking Opportunities],How would you evaluate the following components of the program? [Career Development Resources],How would you evaluate the following components of the program? [Feedback and Evaluation Mechanisms],How would you evaluate the following components of the program? [Cultural Immersion Activities],How would you evaluate the following components of the program? [Peer Learning and Collaboration Platforms],"If any, what further assistance would you have preferred?",
RSP025,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Poor,Poor,Poor,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,I am just excited to be part of this program,
RSP047,Very Good,Very Good,Very Good,Average,Good,Good,Good,Very Good,Very Good,Very Good,Good,Very Good,Good,Good,Good,Very Good,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Good,Very good,Good,Good,Good,Good,Good,Good,Good,Very good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,My expectations have been met.,
RSP011,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Average,Poor,Poor,Poor,Poor,Poor,Poor,Good,Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Poor,Good,Good,Very good,Good,Average,Good,Good,Very good,Good,Average,Good,Good,Good,Good,Good,Good,None at the moment,
RSP013,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Average,Poor,Poor,Poor,Poor,Poor,Very Good,Poor,Very Good,Very Poor,Very Good,Very Poor,Very Good,Average,Average,Average,Good,Very Good,Very good,Average,Average,Average,Poor,Very good,Average,Very good,Very good,Poor,Good,Very Good,Very Good,Very Good,Very Good,Very Good,More resources and books materials ,
RSP003,Poor,Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Poor,Good,Very Poor,Very Poor,Very Poor,Good,Average,Very Poor,Very Poor,Very Poor,Average,Poor,Average,Very Poor,Average,Very Poor,Poor,Very Poor,,Good,Good,Average,Average,Good,Average,Good,Good,Good,Good,Good,Average,Very Good,Very Good,Good,None,
RSP031,Poor,Good,Average,Average,Poor,Poor,Poor,Poor,Poor,Average,Poor,Average,Poor,Poor,Poor,Average,Average,Good,Poor,Poor,Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Good,Good,Good,Good,Good,Good,Good,Good,Average,Poor,Good,Very Good,Good,Very Good,Good,Good,More outdoor ativites ,
RSP042,Poor,Poor,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Poor,Poor,Poor,Average,Average,Average,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Good,Good,Average,Average,Average,Average,Good,Good,Average,Average,Average,Average,Average,Average,Average,Average,should organise more parties for us,
RSP014,Poor,Poor,Poor,Poor,Average,Average,Poor,Average,Very Poor,Poor,Average,Average,Average,Poor,Average,Poor,Good,Very Poor,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very good,Average,Good,Good,Good,Average,Very good,Average,Good,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,No,
RSP038,Poor,Good,Very Poor,Poor,Average,Good,Average,Good,Very Poor,Very Good,Poor,Good,Poor,Very Poor,Poor,Good,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Good,Very good,Very good,Very good,Average,Very good,Good,Good,Good,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,"None, I can think of ",
RSP018,Poor,Poor,Poor,Poor,Average,Average,Poor,Poor,Very Poor,Poor,Average,Poor,Poor,Poor,Average,Very Poor,Poor,Very Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Poor,Good,Average,Average,Average,Average,Average,Average,Average,Poor,Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,I like everything so far,
RSP033,Very Good,Average,Average,Average,Very Good,Good,Good,Very Good,Good,Good,Average,Good,Average,Average,Good,Very Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very good,Very good,Good,Very good,Good,Very good,Very good,Very good,Very good,Average,Good,Very Good,Very Good,Very Good,Good,Very Good,No,
RSP046,Average,Poor,Poor,Poor,Poor,Average,Average,Very Good,Poor,Very Good,Poor,Average,Average,Poor,Average,Poor,Very Good,Average,Very Good,Very Good,Good,Poor,Good,Average,Average,Poor,Average,Good,Average,Average,Very Poor,Poor,Average,Poor,Poor,Poor,Average,Good,Good,Very Good,Average,Very Good,Good,Good,More network sessions and parties ,
RSP021,Good,Very Good,Average,Good,Good,Good,Good,Good,Good,Very Good,Average,Very Good,Good,Average,Poor,Good,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Very good,Very good,Good,Good,Good,Very good,Good,Good,Good,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,I have everything I need. ,
RSP029,Poor,Poor,Poor,Poor,Poor,Very Poor,Average,Good,Poor,Good,Very Good,Average,Good,Average,Average,Poor,Very Good,Poor,Good,Very Poor,Poor,Poor,Poor,Poor,Average,Good,Average,Good,Very good,Very good,Good,Good,Good,Good,Poor,Good,Good,Average,Good,Very Good,Good,Very Good,Very Good,Very Good,None,
RSP035,Very Poor,Poor,Poor,Poor,Poor,Average,Poor,Poor,Average,Average,Poor,Poor,Poor,Poor,Poor,Average,Good,Very Good,Very Good,Very Good,Good,Good,Average,Good,Good,Good,Average,Average,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,N/A,
RSP041,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Good,Very Good,Average,Average,Average,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very good,Good,Very good,Very good,Very good,Average,Average,Average,Poor,Very good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Good so far,
RSP037,Average,Poor,Average,Good,Average,Average,Good,Poor,Good,Very Good,Average,Good,Poor,Poor,Average,Poor,Good,Average,Good,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Very good,Very good,Very good,Good,Good,Very good,Very good,Very good,Good,Good,Average,Very Good,Average,Good,Good,Average,Nothing for me ,
RSP012,Poor,Poor,Very Poor,Average,Poor,Good,Very Poor,Good,Poor,Very Good,Average,Poor,Very Poor,Very Poor,Very Poor,Poor,Average,Very Poor,Poor,Very Poor,Good,Very Poor,Very Poor,Average,Very Poor,Good,Very Poor,Poor,Good,Good,Average,Good,Good,Good,Good,Good,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,I am happy with everything so far ,
RSP036,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Average,Poor,Average,Poor,Very Poor,Average,Very Poor,Good,Poor,Good,Average,Good,Very Poor,Average,Very Poor,Average,Very Poor,Average,Poor,Good,Average,Average,Good,Average,Very good,Average,Good,Good,Average,Good,Very Good,Very Good,Very Good,Good,Very Good,The team support is amazing ,
RSP004,Average,Poor,Poor,Poor,Good,Very Good,Average,Very Good,Good,Average,Very Good,Good,Very Good,Average,Good,Average,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Good,Very good,Good,Average,Good,Average,Average,Average,Average,Very good,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,"Once in a while, we should be given some days off",
RSP017,Good,Average,Average,Good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Poor,Very Good,Average,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Good,Good,Good,Average,Average,Very good,Good,Good,Average,Good,Very Good,Good,Good,Very Good,Very Good,Very Good,Nothing,
RSP022,Very Poor,Very Good,Very Poor,Very Poor,Average,Good,Very Poor,Very Good,Very Good,Very Good,Average,Good,Poor,Average,Good,Very Poor,Good,Very Poor,Good,Average,Good,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Average,Very Good,Very good,Good,Average,Poor,Good,Average,Average,Average,Very Poor,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Support has been wonderful ,
RSP026,Good,Good,Poor,Average,Average,Good,Poor,Very Good,Very Poor,Very Good,Very Good,Very Good,Very Good,Average,Very Good,Very Good,Very Good,Good,Very Good,Good,Very Good,Average,Good,Average,Poor,Poor,Average,Very Good,Very good,Very good,Very good,Good,Very good,Very good,Very good,Very good,Average,Good,Very Good,Very Good,Average,Very Good,Very Good,Very Good,Thankful for the opportunity,
RSP048,Very Good,Good,Good,Very Good,Good,Very Good,Very Good,Good,Average,Very Good,Average,Good,Very Good,Good,Good,Average,Average,Average,Poor,Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Very Poor,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Very good,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,I don't have any additional suggestion,
RSP039,Average,Average,Very Poor,Poor,Average,Average,Poor,Poor,Very Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Average,Very Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Good,Good,Average,Good,Average,Good,Very good,Good,Good,Average,Good,Good,Very Good,Good,Very Good,Very Good,None. ,
RSP020,Good,Poor,Poor,Average,Average,Good,Poor,Average,Average,Average,Good,Good,Average,Average,Average,Poor,Average,Very Poor,Poor,Very Poor,Poor,Very Poor,Very Poor,Poor,Good,Good,Poor,Average,Good,Average,Good,Average,Good,Average,Good,Good,Good,Good,Average,Good,Good,Good,Very Good,Very Good,N/a,
RSP027,Good,Average,Average,Average,Good,Average,Good,Average,Average,Poor,Good,Average,Good,Average,Good,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Good,Good,Average,Poor,Poor,Good,Good,Good,Average,Average,Good,Good,Good,Good,Good,Very Good,Fridays should holidays for us,
RSP019,Poor,Very Poor,Very Poor,Poor,Poor,Poor,Very Poor,Very Poor,Very Poor,Good,Average,Very Poor,Very Poor,Poor,Good,Average,Very Good,Very Poor,Good,Very Poor,Average,Very Poor,Poor,Average,Average,Very Poor,Average,Good,Poor,Poor,Good,Very good,Very good,Poor,Very good,Poor,Average,Very good,Good,Very Good,Good,Very Good,Very Good,Good,None,
RSP010,Average,Average,Average,Average,Good,Very Good,Good,Average,Good,Average,Average,Good,Poor,Average,Average,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Good,Very good,Good,Average,Very good,Very good,Average,Good,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,None for now. Thank you,
RSP024,Poor,Poor,Poor,Poor,Average,Good,Poor,Average,Average,Good,Good,Poor,Poor,Poor,Poor,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Good,Average,Average,Good,Good,Good,Average,Good,Good,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,"None, all was perfect",
RSP049,Average,Average,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Good,Average,Poor,Average,Average,Poor,Very Poor,Very Poor,Very Poor,Poor,Average,Very Poor,Very Poor,Very Poor,Average,Very Poor,Average,Very good,Very good,Very good,Average,Average,Average,Average,Average,Good,Very good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,N/A,
RSP043,Average,Average,Very Poor,Poor,Average,Poor,Poor,Average,Poor,Average,Average,Average,Average,Very Poor,Average,Very Poor,Poor,Poor,Poor,Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Good,Good,Average,Average,Good,Good,Average,Average,Poor,Average,Average,Average,Very Good,Very Good,Very Good,Very Good,Very Good,No further comments at this time,
RSP009,Poor,Average,Poor,Poor,Average,Average,Good,Good,Average,Very Good,Good,Average,Good,Poor,Good,Good,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Good,Good,Average,Average,Good,Good,Good,Good,Very good,Good,Average,Very Good,Very Good,Very Good,Good,Good,Good,N/A,
RSP045,Average,Good,Poor,Good,Average,Very Good,Good,Good,Good,Very Good,Average,Very Good,Good,Poor,Good,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Very Poor,Average,Average,Average,Very Poor,Average,Good,Good,Good,Good,Good,None,
RSP028,Very Good,Very Good,Average,Average,Very Good,Very Good,Very Good,Very Good,Very Poor,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Average,Poor,Very Poor,Very Poor,Very Poor,Poor,Poor,Very Poor,Very Poor,Average,Poor,Average,Very Good,Very good,Very good,Very good,Average,Good,Very good,Very good,Very good,Very good,Very good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,nothing for now please,
RSP032,Good,Average,Good,Average,Good,Good,Good,Very Good,Average,Good,Good,Good,Good,Very Good,Good,Average,Average,Very Poor,Poor,Very Poor,Average,Very Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Average,Average,Average,Very good,Good,Average,Good,Good,Good,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Good,N/a,
RSP023,Good,Good,Average,Good,Average,Good,Average,Average,Average,Good,Average,Good,Average,Poor,Average,Good,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Good,Good,Very good,Good,Average,Good,Average,Good,Very good,Good,Good,Very Good,Good,Very Good,Good,Good,I want the opportunity to meet investors ,
RSP044,Poor,Average,Poor,Poor,Average,Average,Poor,Average,Good,Good,Average,Good,Good,Average,Poor,Poor,Very Good,Good,Very Good,Poor,Good,Very Poor,Average,Good,Poor,Poor,Poor,Good,Average,Average,Good,Good,Poor,Very good,Average,Very good,Very good,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,N/A,
RSP050,Good,Average,Poor,Good,Average,Good,Average,Average,Average,Average,Average,Very Good,Very Good,Very Good,Very Good,Average,Good,Good,Good,Good,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Good,Good,Very good,Good,Very good,Very good,Average,Average,Very good,Very Good,Good,Very Good,Very Good,Very Good,Very Good,Consider inviting our family members once in awhile,
RSP001,Average,Poor,Very Poor,Good,Poor,Good,Average,Average,Average,Average,Poor,Good,Very Poor,Good,Average,Average,Very Poor,Average,Very Poor,Very Poor,Average,Very Poor,Very Poor,Very Poor,Average,Average,Average,Very Poor,Very good,Good,Very good,Very good,Very good,Very good,Good,Good,Good,Average,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,I am very okay and fine noow,
RSP007,Very Good,Very Good,Average,Good,Good,Good,Very Good,Average,Average,Good,Good,Very Good,Good,Good,Good,Good,Very Good,Good,Very Good,Very Good,Good,Poor,Average,Good,Good,Good,Good,Good,Good,Good,Very good,Good,Good,Very good,Very good,Very good,Good,Very good,Average,Good,Good,Good,Very Good,Very Good,N/A,
RSP034,Average,Good,Average,Very Good,Poor,Good,Average,Good,Good,Good,Good,Good,Average,Average,Average,Good,Poor,Very Poor,Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Average,Good,Very good,Good,Good,Average,Average,Good,Very good,Very good,Good,Very good,Good,Very Good,Very Good,Good,Good,Good,We should go out more often,
RSP015,Good,Average,Good,Good,Average,Very Good,Good,Average,Average,Average,Good,Good,Good,Good,Good,Average,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Good,Good,Very Good,Very Good,Good,I am very happy,
RSP008,Average,Average,Poor,Very Poor,Average,Average,Average,Average,Poor,Very Good,Good,Average,Average,Good,Average,Poor,Very Good,Poor,Good,Poor,Average,Poor,Poor,Good,Poor,Average,Poor,Good,Good,Good,Good,Very good,Good,Very good,Good,Very good,Good,Good,Very Good,Good,Average,Good,Average,Average,n/a,
RSP005,Average,Average,Poor,Average,Average,Good,Average,Good,Good,Average,Poor,Good,Average,Poor,Very Poor,Very Poor,Very Good,Poor,Average,Poor,Good,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,Very Good,Very Good,Very Good,Very Good,Very Good,N/A,
RSP002,Average,Poor,Poor,Poor,Good,Poor,Poor,Average,Poor,Good,Good,Average,Average,Poor,Good,Good,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,The program should be extended ,
RSP006,Poor,Average,Very Poor,Very Poor,Poor,Poor,Poor,Poor,Very Poor,Average,Average,Average,Average,Poor,Average,Average,Poor,Very Poor,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Very good,Good,Very good,Good,Very good,Good,Very good,Very good,Very good,Good,Average,Average,Average,Average,Average,Average,Nope,
RSP030,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Average,Poor,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Good,Very Poor,Poor,Very Poor,Good,Very Poor,Very Poor,Very Poor,Poor,Very Poor,Very Poor,Average,Good,Average,Poor,Poor,Poor,Average,Poor,Good,Poor,Very Poor,Good,Very Good,Very Good,Very Good,Very Good,Very Good,N/A,
RSP016,Average,Average,Average,Average,Average,Average,Average,Good,Average,Good,Good,Good,Good,Average,Average,Average,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Good,Very good,Good,Good,Average,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,N/A,
RSP040,Average,Good,Very Poor,Very Poor,Average,Good,Poor,Very Good,Poor,Very Good,Good,Good,Good,Poor,Very Good,Poor,Average,Poor,Very Poor,Very Poor,Average,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Good,Very good,Very good,Very good,Very good,Good,Very good,Very good,Very good,Very good,Very good,Very Good,Very Good,Very Good,Very Good,Very Good,Very Good,Nope,
RSP051,Average,Poor,Poor,Average,Average,Poor,Average,Average,Poor,Poor,Average,Poor,Average,Poor,Average,Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Very Poor,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Very Good,Very Good,Very Good,Very Good,Very Good,All support has been given. I am grateful.,
